dt,PM1 (ug/m3),PM2.5(ug/m3),PM10(ug/m3),PM1 (ug/m3) atmos env,PM2.5(ug/m3) atmos env,PM10(ug/m3) atmos env,0.3um in 0.1L air,0.5um in 0.1L air,1.0um in 0.1L air,2.5um in 0.1L air,5um in 0.1L air,10um in 0.1L air
13/12/2021 09:07:09,51,68,87,34,49,67,0,0,0,0,0,0
13/12/2021 09:07:14,52,72,85,35,50,67,0,0,0,0,0,0
13/12/2021 09:07:19,51,69,84,34,49,66,0,0,0,0,0,0
13/12/2021 09:07:24,49,70,82,34,50,65,0,0,0,0,0,0
13/12/2021 09:07:29,48,74,84,33,51,66,0,0,0,0,0,0
13/12/2021 09:07:34,46,70,83,33,50,66,0,0,0,0,0,0
13/12/2021 09:07:39,45,69,83,32,49,66,0,0,0,0,0,0
13/12/2021 09:07:44,44,70,84,32,50,66,0,0,0,0,0,0
13/12/2021 09:07:49,46,72,91,33,52,71,0,0,0,0,0,0
13/12/2021 09:07:54,46,73,89,33,53,70,6660,2059,467,64,20,6
13/12/2021 09:07:59,44,71,88,33,52,70,6387,1987,450,64,22,6
13/12/2021 09:08:04,42,72,89,32,52,71,6285,1957,450,72,24,6
13/12/2021 09:08:09,41,71,86,31,52,70,6189,1900,439,68,20,6
13/12/2021 09:08:14,40,70,85,31,51,69,6165,1898,443,62,20,6
13/12/2021 09:08:19,37,63,81,29,48,66,6024,1828,428,60,24,8
13/12/2021 09:08:24,37,64,79,29,48,65,6024,1818,426,62,22,6
13/12/2021 09:08:29,39,66,84,30,49,67,6102,1867,458,70,26,6
13/12/2021 09:08:34,39,65,82,30,48,66,6243,1888,452,60,26,8
13/12/2021 09:08:39,39,64,78,29,48,63,6300,1920,458,56,22,4
13/12/2021 09:08:44,39,64,80,29,48,64,6486,1966,452,54,24,4
13/12/2021 09:08:49,39,64,76,29,48,63,6501,1936,440,52,20,4
13/12/2021 09:08:54,37,59,70,29,45,60,6294,1871,406,44,18,4
13/12/2021 09:08:59,38,62,74,29,46,61,6414,1918,430,48,18,4
13/12/2021 09:09:04,38,61,78,29,46,63,6357,1905,430,58,24,6
